"PLAYER_NAME";"TEAM_ABBREVIATION";"AGE";"PTS";"AST";"REB";"OREB";"DREB";"TOV";"STL";"BLK";"FG_PCT";"FG3_PCT";"FT_PCT";"Peso";"Altura";"Position"
"Sam Merrill";"MEM";26;15,6;2,5;4,4;0,6;3,7;1,2;0;0;0,333;0,304;0,5;92,98636;1,9304;"SG"
"Sandro Mamukelashvili";"MIL";23;13,6;1,9;7,3;3,1;4,2;1,3;0,8;0,8;0,496;0,423;0,818;108,86208;2,0574;"PF"
"Santi Aldama";"MEM";21;13,2;2,1;8,7;3,3;5,4;1,6;0,6;1;0,402;0,125;0,625;97,52228;2,1336;"PF"
"Scottie Barnes";"TOR";20;15,6;3,5;7,7;2,7;5;1,9;1,1;0,8;0,492;0,301;0,735;107,501304;2,032;"PF"
"Scottie Lewis";"CHA";22;5,5;5,5;0;0;0;0;5,5;0;0;0;0,5;83,91452;1,9558;"SG"
"Scotty Hopson";"OKC";32;8,1;2;2;0;2;4,1;0;0;0,5;0;0;92,532768;2,0066;"SG"
"Sekou Doumbouya";"LAL";21;30,8;0;13,2;4,4;8,8;4,4;6,6;4,4;0,625;0,5;0,75;104,32616;2,0574;"PF"
"Semi Ojeleye";"LAC";27;8,7;0,8;6,6;2,4;4,2;0,8;0,6;0,5;0,303;0,3;0,793;108,86208;1,9812;"PF"
"Serge Ibaka";"MIL";32;15;2;10,3;2,5;7,7;1,8;0,5;1,4;0,5;0,374;0,727;106,59412;2,1082;"C"
"Seth Curry";"BKN";31;16,2;3,9;3,4;0,4;3;1,8;0,9;0,2;0,487;0,422;0,872;83,91452;1,8542;"SG"
"Shai Gilgeous-Alexander";"OKC";23;25,4;6,1;5,2;0,7;4,5;2,9;1,3;0,9;0,453;0,3;0,81;88,45044;1,9812;"PG"
"Shake Milton";"PHI";25;13,7;4,2;4,3;0,9;3,4;1,3;0,9;0,5;0,429;0,323;0,836;92,98636;1,9558;"SG"
"Shaq Buchanan";"MEM";25;7,3;7,3;7,3;3,7;3,7;7,3;3,7;0;0,25;0;0;86,18248;1,905;"SG"
"Shaquille Harrison";"BKN";28;6,4;4,8;6,4;1,6;4,8;3,2;1,6;1,6;0,333;0;0;88,45044;1,9304;"SG"
"Sharife Cooper";"ATL";21;6,5;4,7;4,7;0;4,7;4,7;0;0;0,214;0,167;0;79,832192;1,8288;"PG"
"Skylar Mays";"ATL";24;13,1;2,8;4,1;0,8;3,3;1,6;1,1;0;0,5;0,32;0,889;92,98636;1,905;"SG"
"Solomon Hill";"ATL";31;2,1;3,1;5,9;1,5;4,4;0,3;1;0,5;0,15;0,154;0;102,511792;1,9812;"SF"
"Spencer Dinwiddie";"DAL";29;16,7;6,3;5,1;0,8;4,3;1,9;0,8;0,2;0,416;0,339;0,774;97,52228;1,9558;"PG"
"Stanley Johnson";"LAL";26;10,5;2,6;5,1;1,1;4;1,2;1,4;0,5;0,466;0,314;0,716;109,769264;1,9812;"PF"
"Stephen Curry";"GSW";34;26,5;6,6;5,5;0,6;4,9;3,4;1,4;0,4;0,437;0,38;0,923;83,91452;1,8796;"PG"
"Sterling Brown";"DAL";27;9,2;1,9;8,5;1,5;7;1,3;0,8;0,4;0,381;0,304;0,933;99,336648;1,9558;"SG"
"Steven Adams";"MEM";28;9,5;4,6;13,7;6,3;7,4;2,1;1,2;1,1;0,547;0;0,543;120,20188;2,1082;"C"
"Svi Mykhailiuk";"TOR";25;12,8;2,3;4,6;1;3,6;1,6;1,3;0,2;0,389;0,306;0,865;92,98636;2,0066;"SF"
"T.J. McConnell";"IND";30;12,6;7,2;5;1,1;3,9;1,6;1,6;0,6;0,481;0,303;0,826;86,18248;1,8542;"PG"
"Tacko Fall";"CLE";26;7,3;1,2;14,1;4,3;9,8;1,8;0;3,7;0,417;0;0,286;141,067112;2,286;"C"
"Taj Gibson";"NYK";37;8,7;1,2;8,7;3,3;5,4;1;0,8;1,5;0,518;0,395;0,808;105,233344;2,0574;"C"
"Talen Horton-Tucker";"LAL";21;14,2;3,8;4,6;0,9;3,7;2;1,4;0,7;0,416;0,269;0,8;106,140528;1,9304;"SG"
"Taurean Prince";"MIN";28;15,4;2,1;5,3;0,8;4,5;1,6;1,4;0,7;0,454;0,376;0,756;98,883056;1,9812;"PF"
"Terance Mann";"LAC";25;13,5;3,2;6,6;1,6;5;1,3;0,9;0,3;0,484;0,365;0,78;97,52228;1,9812;"SF"
"Terence Davis";"SAC";25;20,9;2,7;6,3;0,7;5,6;2,2;1,7;0,7;0,423;0,329;0,818;91,171992;1,9304;"SG"
"Terrence Ross";"ORL";31;15,6;2,9;4;0,5;3,5;1,9;0,7;0,3;0,397;0,292;0,862;93,439952;2,0066;"SG"
"Terry Rozier";"CHA";28;20,6;4,8;4,6;0,8;3,8;1,4;1,4;0,4;0,444;0,374;0,852;86,18248;1,8542;"SG"
"Terry Taylor";"IND";22;16;2,1;8,7;4,8;3,9;1,2;0,7;0,4;0,614;0,316;0,706;104,32616;1,9304;"PF"
"Thaddeus Young";"TOR";34;13,7;4,4;8,9;3,4;5,5;2,2;2,3;0,8;0,518;0,354;0,469;102,0582;2,032;"PF"
"Thanasis Antetokounmpo";"MIL";29;13;1,7;7,7;3;4,6;2;1,2;0,9;0,547;0,143;0,63;99,336648;2,0066;"SF"
"Theo Maledon";"OKC";21;14,3;4,4;5,2;0,8;4,4;2,6;1,2;0,4;0,375;0,293;0,79;79,3786;1,9304;"PG"
"Theo Pinson";"DAL";26;11,7;4,1;5,1;0,5;4,6;1,2;1,2;0,5;0,359;0,333;1;96,161504;2,0066;"SF"
"Thomas Bryant";"WAS";24;16,5;1,9;8,9;2,1;6,7;1,6;0,5;1,7;0,52;0,286;0,875;112,490816;2,0574;"C"
"Tim Frazier";"CLE";31;6,8;5,9;3,3;0,9;2,4;2,6;0,5;0,2;0,311;0,353;0,556;77,11064;1,8288;"PG"
